work_order_id,sku,warehouse_id,scheduled_ts,priority,planned_quantity
work_order_id_82,sku_152,warehouse_id_12,2020-02-13T19:15:26,critical,24
work_order_id_83,sku_20,warehouse_id_8,2020-05-13T20:51:05,high,20
work_order_id_84,sku_75,warehouse_id_47,2020-02-02T11:24:49,medium,9
work_order_id_85,sku_28,warehouse_id_68,2020-06-28T21:24:42,critical,21
work_order_id_86,sku_76,warehouse_id_49,2020-02-05T12:37:01,low,34
work_order_id_87,sku_187,warehouse_id_7,2020-07-13T09:19:02,critical,19
work_order_id_88,sku_97,warehouse_id_7,2020-11-07T23:42:23,low,36
work_order_id_89,sku_121,warehouse_id_72,2020-07-13T04:26:51,high,26
work_order_id_90,sku_4,warehouse_id_10,2020-08-01T02:50:49,high,17
work_order_id_91,sku_113,warehouse_id_77,2020-09-27T07:05:30,critical,27
work_order_id_92,sku_193,warehouse_id_69,2020-09-21T20:01:55,medium,37
work_order_id_93,sku_20,warehouse_id_52,2020-11-10T01:44:49,medium,15
work_order_id_94,sku_49,warehouse_id_16,2020-02-16T19:39:46,high,23
work_order_id_95,sku_45,warehouse_id_58,2020-01-19T01:02:17,medium,21
work_order_id_96,sku_77,warehouse_id_67,2020-12-21T21:23:56,critical,34
work_order_id_97,sku_51,warehouse_id_26,2020-09-24T20:18:31,medium,25
work_order_id_98,sku_124,warehouse_id_66,2020-02-27T09:48:42,low,24
work_order_id_99,sku_16,warehouse_id_30,2020-09-16T22:12:01,critical,32
work_order_id_100,sku_187,warehouse_id_5,2020-01-03T17:03:19,high,12
work_order_id_101,sku_186,warehouse_id_2,2020-01-22T11:10:10,medium,31
work_order_id_102,sku_111,warehouse_id_77,2020-01-24T08:40:28,critical,10
work_order_id_103,sku_116,warehouse_id_34,2020-05-25T11:29:02,low,30
work_order_id_104,sku_36,warehouse_id_23,2020-09-13T17:30:59,medium,33
work_order_id_105,sku_96,warehouse_id_42,2020-01-04T00:03:17,medium,28
work_order_id_106,sku_1,warehouse_id_8,2020-05-23T23:04:32,high,24
work_order_id_107,sku_183,warehouse_id_60,2020-08-05T06:57:14,medium,22
work_order_id_108,sku_67,warehouse_id_6,2020-09-25T22:57:09,low,21
work_order_id_109,sku_182,warehouse_id_16,2020-06-19T20:24:08,critical,23
work_order_id_110,sku_137,warehouse_id_4,2020-08-04T07:16:37,critical,27
work_order_id_111,sku_63,warehouse_id_6,2020-06-05T23:37:20,medium,26
work_order_id_112,sku_39,warehouse_id_39,2020-03-30T01:02:54,critical,26
work_order_id_113,sku_87,warehouse_id_53,2020-05-10T06:23:02,high,36
work_order_id_114,sku_147,warehouse_id_52,2020-06-02T06:31:39,low,19
work_order_id_115,sku_80,warehouse_id_64,2020-11-23T20:54:36,medium,29
work_order_id_116,sku_177,warehouse_id_8,2020-02-13T00:27:06,medium,25
work_order_id_117,sku_160,warehouse_id_20,2020-06-01T16:16:05,low,22
work_order_id_118,sku_137,warehouse_id_46,2020-01-04T21:48:33,high,26
work_order_id_119,sku_64,warehouse_id_53,2020-07-09T05:43:13,medium,35
work_order_id_120,sku_43,warehouse_id_70,2020-12-14T07:52:49,high,28
work_order_id_121,sku_19,warehouse_id_67,2020-11-17T04:02:39,medium,22
work_order_id_122,sku_166,warehouse_id_16,2020-04-15T12:09:48,high,25
work_order_id_123,sku_13,warehouse_id_42,2020-11-23T04:23:25,high,17
work_order_id_124,sku_104,warehouse_id_30,2020-02-22T07:22:32,medium,21
work_order_id_125,sku_5,warehouse_id_23,2020-07-28T15:02:30,critical,9
work_order_id_126,sku_44,warehouse_id_56,2020-02-15T17:51:41,low,20
work_order_id_127,sku_13,warehouse_id_12,2020-07-21T05:43:00,low,24
work_order_id_128,sku_51,warehouse_id_59,2020-08-01T16:52:41,high,24
work_order_id_129,sku_182,warehouse_id_17,2020-05-21T00:53:50,high,20
work_order_id_130,sku_84,warehouse_id_53,2020-02-16T07:16:03,critical,24
work_order_id_131,sku_95,warehouse_id_24,2020-12-22T08:32:51,high,25
work_order_id_132,sku_33,warehouse_id_76,2020-04-10T01:11:18,medium,28
work_order_id_133,sku_17,warehouse_id_74,2020-08-28T13:03:07,low,31
work_order_id_134,sku_98,warehouse_id_30,2020-06-18T17:22:35,critical,30
work_order_id_135,sku_85,warehouse_id_65,2020-05-18T23:02:40,critical,33
work_order_id_136,sku_112,warehouse_id_51,2020-11-12T01:59:59,critical,24
work_order_id_137,sku_29,warehouse_id_44,2020-04-15T12:42:46,medium,15
work_order_id_138,sku_114,warehouse_id_49,2020-12-11T08:50:19,critical,11
work_order_id_139,sku_92,warehouse_id_71,2020-01-19T11:53:48,critical,27
work_order_id_140,sku_130,warehouse_id_30,2020-04-08T06:35:10,medium,31
work_order_id_141,sku_88,warehouse_id_7,2020-08-18T22:54:37,high,33
work_order_id_142,sku_20,warehouse_id_46,2020-12-12T20:41:48,critical,24
work_order_id_143,sku_89,warehouse_id_37,2020-11-16T05:02:36,high,34
work_order_id_144,sku_34,warehouse_id_38,2020-05-20T04:41:33,low,17
work_order_id_145,sku_55,warehouse_id_59,2020-12-26T09:47:37,low,24
work_order_id_146,sku_157,warehouse_id_52,2020-08-30T02:54:24,medium,21
work_order_id_147,sku_129,warehouse_id_65,2020-10-05T13:11:52,medium,15
work_order_id_148,sku_135,warehouse_id_49,2020-01-09T08:38:58,high,37
work_order_id_149,sku_34,warehouse_id_18,2020-08-04T21:34:32,high,22
work_order_id_150,sku_136,warehouse_id_42,2020-08-09T08:17:51,high,23
work_order_id_151,sku_177,warehouse_id_54,2020-05-08T15:52:22,high,21
work_order_id_152,sku_148,warehouse_id_15,2020-08-13T18:44:37,medium,27
work_order_id_153,sku_111,warehouse_id_8,2020-05-17T09:35:07,critical,19
work_order_id_154,sku_76,warehouse_id_55,2020-11-02T23:41:20,low,25
work_order_id_155,sku_193,warehouse_id_16,2020-10-04T06:01:26,high,33
work_order_id_156,sku_62,warehouse_id_1,2020-11-01T12:50:06,medium,21
work_order_id_157,sku_134,warehouse_id_77,2020-11-13T18:16:45,medium,19
work_order_id_158,sku_113,warehouse_id_23,2020-10-24T04:48:17,critical,25
work_order_id_159,sku_69,warehouse_id_17,2020-12-20T01:03:08,medium,25
work_order_id_160,sku_78,warehouse_id_60,2020-05-25T13:07:37,high,21
work_order_id_161,sku_108,warehouse_id_72,2020-09-16T02:02:38,critical,30
work_order_id_162,sku_2,warehouse_id_23,2020-08-24T11:09:35,high,16
work_order_id_163,sku_48,warehouse_id_61,2020-11-30T03:15:55,low,27
work_order_id_164,sku_15,warehouse_id_34,2020-02-14T13:53:49,low,15
work_order_id_165,sku_9,warehouse_id_12,2020-05-24T22:18:18,low,23
work_order_id_166,sku_3,warehouse_id_50,2020-12-14T15:03:23,low,25
work_order_id_167,sku_180,warehouse_id_79,2020-03-28T02:23:08,low,18
work_order_id_168,sku_139,warehouse_id_50,2020-08-04T03:54:54,medium,19
work_order_id_169,sku_94,warehouse_id_59,2020-03-28T10:29:26,critical,32
work_order_id_170,sku_98,warehouse_id_13,2020-01-22T20:31:54,medium,33
work_order_id_171,sku_168,warehouse_id_49,2020-03-04T15:03:34,medium,13
work_order_id_172,sku_173,warehouse_id_58,2020-01-29T14:06:43,high,32
work_order_id_173,sku_131,warehouse_id_59,2020-05-15T03:27:02,low,31
work_order_id_174,sku_135,warehouse_id_64,2020-11-08T17:16:06,critical,30
work_order_id_175,sku_18,warehouse_id_3,2020-09-17T15:49:34,low,39
work_order_id_176,sku_185,warehouse_id_71,2020-04-11T11:55:32,medium,27
work_order_id_177,sku_30,warehouse_id_38,2020-08-04T22:01:03,low,21
work_order_id_178,sku_171,warehouse_id_57,2020-08-06T15:16:13,medium,21
work_order_id_179,sku_164,warehouse_id_66,2020-12-16T09:16:44,high,23
work_order_id_180,sku_23,warehouse_id_33,2020-10-17T19:11:22,low,25
work_order_id_181,sku_26,warehouse_id_3,2020-01-24T14:18:02,critical,20
work_order_id_182,sku_16,warehouse_id_25,2020-03-15T20:35:41,medium,27
work_order_id_183,sku_135,warehouse_id_39,2020-04-11T23:40:11,critical,26
work_order_id_184,sku_82,warehouse_id_66,2020-12-20T17:58:43,low,28
work_order_id_185,sku_196,warehouse_id_42,2020-06-14T16:48:04,medium,19
work_order_id_186,sku_59,warehouse_id_53,2020-10-08T19:48:01,low,20
work_order_id_187,sku_2,warehouse_id_74,2020-01-26T16:12:55,critical,23
work_order_id_188,sku_180,warehouse_id_59,2020-09-13T19:42:05,critical,29
work_order_id_189,sku_96,warehouse_id_62,2020-06-11T15:18:42,low,17
work_order_id_190,sku_26,warehouse_id_15,2020-10-01T06:57:31,low,34
work_order_id_191,sku_136,warehouse_id_48,2020-11-22T03:36:29,high,30
work_order_id_192,sku_87,warehouse_id_4,2020-01-30T04:25:59,low,21
work_order_id_193,sku_117,warehouse_id_5,2020-10-21T14:13:56,high,25
work_order_id_194,sku_130,warehouse_id_38,2020-07-28T21:38:17,low,21
work_order_id_195,sku_126,warehouse_id_38,2020-05-04T12:15:17,low,28
work_order_id_196,sku_31,warehouse_id_71,2020-08-25T06:18:40,low,26
work_order_id_197,sku_153,warehouse_id_21,2020-04-09T11:24:52,high,24
work_order_id_198,sku_192,warehouse_id_9,2020-12-07T08:00:27,low,23
work_order_id_199,sku_161,warehouse_id_34,2020-03-21T13:35:33,low,21
work_order_id_200,sku_89,warehouse_id_77,2020-12-30T00:10:48,low,25
work_order_id_201,sku_168,warehouse_id_62,2020-06-06T23:59:05,critical,33
work_order_id_202,sku_103,warehouse_id_30,2020-03-28T22:51:11,high,29
work_order_id_203,sku_32,warehouse_id_77,2020-05-28T16:30:39,medium,22
work_order_id_204,sku_142,warehouse_id_80,2020-01-16T23:39:54,critical,20
work_order_id_205,sku_178,warehouse_id_3,2020-09-19T06:58:12,low,36
work_order_id_206,sku_66,warehouse_id_8,2020-10-12T01:53:38,medium,22
work_order_id_207,sku_96,warehouse_id_75,2020-06-11T01:55:37,medium,26
work_order_id_208,sku_122,warehouse_id_66,2020-05-02T23:18:04,medium,25
work_order_id_209,sku_45,warehouse_id_42,2020-10-09T05:00:58,low,27
work_order_id_210,sku_121,warehouse_id_29,2020-07-08T05:29:28,low,22
work_order_id_211,sku_43,warehouse_id_24,2020-06-27T04:27:21,critical,25
work_order_id_212,sku_52,warehouse_id_12,2020-05-10T06:46:51,high,17
work_order_id_213,sku_112,warehouse_id_19,2020-03-07T01:12:19,critical,28
work_order_id_214,sku_198,warehouse_id_26,2020-09-10T17:32:48,low,30
work_order_id_215,sku_144,warehouse_id_49,2020-06-28T01:02:06,critical,23
work_order_id_216,sku_93,warehouse_id_79,2020-01-25T21:47:21,medium,25
work_order_id_217,sku_129,warehouse_id_72,2020-08-08T22:03:03,medium,25
work_order_id_218,sku_164,warehouse_id_48,2020-08-20T00:17:59,critical,28
work_order_id_219,sku_196,warehouse_id_30,2020-09-21T14:15:18,medium,34
work_order_id_220,sku_30,warehouse_id_10,2020-03-03T15:58:20,medium,29
work_order_id_221,sku_192,warehouse_id_3,2020-04-14T03:00:18,medium,11
work_order_id_222,sku_102,warehouse_id_13,2020-11-10T01:19:22,medium,27
work_order_id_223,sku_22,warehouse_id_10,2020-08-11T01:31:29,critical,23
work_order_id_224,sku_164,warehouse_id_34,2020-07-12T00:23:40,low,27
work_order_id_225,sku_128,warehouse_id_53,2020-10-23T21:50:26,high,23
work_order_id_226,sku_99,warehouse_id_44,2020-01-29T10:26:50,medium,19
work_order_id_227,sku_6,warehouse_id_46,2020-11-09T13:24:23,low,34
work_order_id_228,sku_39,warehouse_id_12,2020-08-24T12:08:02,medium,27
work_order_id_229,sku_38,warehouse_id_42,2020-06-06T04:25:01,medium,19
work_order_id_230,sku_146,warehouse_id_33,2020-05-21T03:21:14,high,24
work_order_id_231,sku_91,warehouse_id_45,2020-05-15T23:51:05,medium,25
work_order_id_232,sku_23,warehouse_id_8,2020-11-26T02:35:02,high,28
work_order_id_233,sku_20,warehouse_id_71,2020-03-24T19:55:06,critical,23
work_order_id_234,sku_167,warehouse_id_34,2020-07-01T06:50:47,medium,24
work_order_id_235,sku_148,warehouse_id_67,2020-08-05T01:16:52,high,17
work_order_id_236,sku_66,warehouse_id_68,2020-06-06T17:29:31,critical,24
work_order_id_237,sku_46,warehouse_id_55,2020-05-12T12:06:19,high,28
work_order_id_238,sku_1,warehouse_id_58,2020-01-21T19:51:41,critical,16
work_order_id_239,sku_60,warehouse_id_59,2020-11-15T14:43:40,high,18
work_order_id_240,sku_10,warehouse_id_60,2020-03-25T01:26:38,low,14
work_order_id_241,sku_26,warehouse_id_58,2020-06-20T12:11:40,low,22
work_order_id_242,sku_117,warehouse_id_23,2020-03-22T09:27:49,critical,27
work_order_id_243,sku_18,warehouse_id_12,2020-02-02T14:46:28,medium,30
work_order_id_244,sku_34,warehouse_id_5,2020-05-07T10:33:44,critical,26
work_order_id_245,sku_23,warehouse_id_27,2020-12-15T20:00:09,medium,29
work_order_id_246,sku_145,warehouse_id_56,2020-08-20T05:15:38,medium,16
work_order_id_247,sku_15,warehouse_id_14,2020-06-07T19:33:58,medium,23
work_order_id_248,sku_132,warehouse_id_2,2020-08-24T09:28:13,medium,38
work_order_id_249,sku_23,warehouse_id_51,2020-08-23T04:06:49,low,23
work_order_id_250,sku_74,warehouse_id_34,2020-03-09T15:32:22,high,28
work_order_id_251,sku_182,warehouse_id_70,2020-05-08T16:19:34,medium,21
work_order_id_252,sku_129,warehouse_id_21,2020-04-03T22:58:45,medium,21
work_order_id_253,sku_155,warehouse_id_26,2020-06-18T01:43:47,high,19
work_order_id_254,sku_109,warehouse_id_70,2020-03-26T09:55:19,low,23
work_order_id_255,sku_137,warehouse_id_37,2020-03-31T07:34:57,medium,29
work_order_id_256,sku_198,warehouse_id_79,2020-02-28T04:08:07,low,31
work_order_id_257,sku_187,warehouse_id_47,2020-06-25T20:11:41,low,27
work_order_id_258,sku_38,warehouse_id_71,2020-03-03T11:17:44,critical,23
work_order_id_259,sku_31,warehouse_id_25,2020-08-10T00:58:51,critical,21
work_order_id_260,sku_172,warehouse_id_32,2020-04-29T07:53:44,low,28
work_order_id_261,sku_104,warehouse_id_63,2020-09-12T20:17:01,medium,21
work_order_id_262,sku_83,warehouse_id_54,2020-02-18T18:02:59,high,28
work_order_id_263,sku_110,warehouse_id_53,2020-11-19T22:33:06,critical,26
work_order_id_264,sku_39,warehouse_id_19,2020-01-18T10:01:56,high,27
work_order_id_265,sku_50,warehouse_id_36,2020-01-15T04:10:35,critical,23
work_order_id_266,sku_72,warehouse_id_42,2020-10-05T11:54:14,critical,20
work_order_id_267,sku_8,warehouse_id_41,2020-07-18T04:04:56,low,27
work_order_id_268,sku_117,warehouse_id_68,2020-11-09T18:49:57,medium,33
work_order_id_269,sku_185,warehouse_id_61,2020-06-14T05:13:20,medium,32
work_order_id_270,sku_128,warehouse_id_62,2020-12-07T07:30:42,low,29
work_order_id_271,sku_191,warehouse_id_72,2020-07-29T02:09:09,critical,24
work_order_id_272,sku_195,warehouse_id_30,2020-07-22T01:37:26,medium,28
work_order_id_273,sku_14,warehouse_id_15,2020-06-03T17:26:31,high,22
work_order_id_274,sku_8,warehouse_id_44,2020-04-21T15:15:48,low,30
work_order_id_275,sku_137,warehouse_id_36,2020-02-23T16:20:10,low,17
work_order_id_276,sku_172,warehouse_id_51,2020-07-26T20:24:42,medium,24
work_order_id_277,sku_174,warehouse_id_23,2020-07-29T16:35:56,critical,28
work_order_id_278,sku_51,warehouse_id_46,2020-12-22T00:48:04,critical,31
work_order_id_279,sku_17,warehouse_id_2,2020-11-06T13:00:36,high,23
work_order_id_280,sku_108,warehouse_id_39,2020-07-30T10:12:03,medium,33
work_order_id_281,sku_178,warehouse_id_29,2020-06-26T06:57:27,critical,20
work_order_id_282,sku_64,warehouse_id_40,2020-09-14T17:18:05,high,25
work_order_id_283,sku_171,warehouse_id_76,2020-04-24T19:50:17,critical,22
work_order_id_284,sku_175,warehouse_id_37,2020-11-04T09:33:18,medium,24
work_order_id_285,sku_12,warehouse_id_51,2020-05-15T15:17:34,critical,27
work_order_id_286,sku_55,warehouse_id_9,2020-03-18T17:49:31,high,21
work_order_id_287,sku_171,warehouse_id_80,2020-09-27T20:01:06,high,26
work_order_id_288,sku_1,warehouse_id_47,2020-11-04T03:07:33,critical,21
work_order_id_289,sku_167,warehouse_id_61,2020-10-13T17:43:19,critical,28
work_order_id_290,sku_69,warehouse_id_22,2020-06-24T20:33:00,medium,40
work_order_id_291,sku_196,warehouse_id_44,2020-03-22T10:02:26,high,35
work_order_id_292,sku_116,warehouse_id_45,2020-09-05T09:49:10,high,26
work_order_id_293,sku_11,warehouse_id_63,2020-10-02T00:01:57,critical,28
work_order_id_294,sku_108,warehouse_id_35,2020-01-22T08:25:37,critical,18
work_order_id_295,sku_116,warehouse_id_60,2020-06-28T15:49:22,critical,22
work_order_id_296,sku_94,warehouse_id_7,2020-06-19T03:23:12,medium,27
work_order_id_297,sku_22,warehouse_id_38,2020-09-27T18:04:55,low,31
work_order_id_298,sku_87,warehouse_id_52,2020-05-17T15:25:53,medium,27
work_order_id_299,sku_120,warehouse_id_30,2020-12-19T21:10:21,medium,27
work_order_id_300,sku_187,warehouse_id_25,2020-07-25T19:52:15,high,28
work_order_id_301,sku_103,warehouse_id_70,2020-08-16T03:38:57,high,23
work_order_id_302,sku_116,warehouse_id_68,2020-08-06T12:44:55,low,25
work_order_id_303,sku_36,warehouse_id_65,2020-10-13T21:12:12,low,31
work_order_id_304,sku_79,warehouse_id_56,2020-09-12T12:08:35,low,28
work_order_id_305,sku_50,warehouse_id_73,2020-11-28T00:26:27,high,25
work_order_id_306,sku_83,warehouse_id_78,2020-05-06T11:17:23,high,29
work_order_id_307,sku_187,warehouse_id_77,2020-06-03T15:17:48,critical,21
work_order_id_308,sku_142,warehouse_id_41,2020-05-08T21:36:20,high,20
work_order_id_309,sku_22,warehouse_id_45,2020-11-25T12:38:47,low,28
work_order_id_310,sku_196,warehouse_id_23,2020-10-13T17:23:38,low,31
work_order_id_311,sku_27,warehouse_id_76,2020-11-07T16:09:44,critical,28
work_order_id_312,sku_132,warehouse_id_65,2020-04-07T09:37:49,critical,29
work_order_id_313,sku_46,warehouse_id_29,2020-05-10T12:22:59,low,20
work_order_id_314,sku_53,warehouse_id_49,2020-06-19T12:36:28,high,41
work_order_id_315,sku_23,warehouse_id_78,2020-04-08T10:39:48,medium,24
work_order_id_316,sku_19,warehouse_id_77,2020-10-15T02:17:58,low,25
work_order_id_317,sku_85,warehouse_id_41,2020-11-13T12:04:32,low,30
work_order_id_318,sku_76,warehouse_id_73,2020-02-17T03:57:04,low,33
work_order_id_319,sku_63,warehouse_id_68,2020-10-07T17:18:27,high,22
work_order_id_320,sku_17,warehouse_id_16,2020-11-09T13:02:34,medium,11
work_order_id_321,sku_138,warehouse_id_56,2020-06-25T08:54:17,critical,31
work_order_id_322,sku_63,warehouse_id_60,2020-08-27T03:14:42,critical,11
work_order_id_323,sku_99,warehouse_id_78,2020-08-23T04:37:30,medium,15
work_order_id_324,sku_93,warehouse_id_15,2020-05-17T09:48:14,critical,17
work_order_id_325,sku_86,warehouse_id_75,2020-11-08T12:39:54,critical,23
work_order_id_326,sku_97,warehouse_id_76,2020-02-01T23:48:52,critical,34
work_order_id_327,sku_123,warehouse_id_42,2020-03-22T11:06:36,critical,31
work_order_id_328,sku_127,warehouse_id_10,2020-04-24T08:54:16,low,22
work_order_id_329,sku_4,warehouse_id_71,2020-10-04T15:02:00,medium,28
work_order_id_330,sku_117,warehouse_id_51,2020-06-29T10:26:30,low,37
work_order_id_331,sku_4,warehouse_id_71,2020-11-25T00:56:50,high,28
work_order_id_332,sku_24,warehouse_id_11,2020-05-17T03:39:39,high,32
work_order_id_333,sku_155,warehouse_id_68,2020-07-28T18:31:23,medium,21
work_order_id_334,sku_104,warehouse_id_41,2020-08-09T15:03:12,high,21
work_order_id_335,sku_93,warehouse_id_28,2020-01-18T06:05:42,medium,22
work_order_id_336,sku_27,warehouse_id_80,2020-03-15T07:02:43,critical,17
work_order_id_337,sku_11,warehouse_id_33,2020-08-22T05:56:42,medium,15
work_order_id_338,sku_49,warehouse_id_59,2020-02-16T07:13:09,medium,30
work_order_id_339,sku_14,warehouse_id_67,2020-04-28T11:49:57,critical,27
work_order_id_340,sku_154,warehouse_id_16,2020-02-21T12:34:30,low,33
work_order_id_341,sku_88,warehouse_id_77,2020-04-19T11:41:42,critical,21
work_order_id_342,sku_157,warehouse_id_14,2020-09-07T09:20:19,medium,31
work_order_id_343,sku_47,warehouse_id_70,2020-01-21T05:49:52,low,19
work_order_id_344,sku_54,warehouse_id_77,2020-10-30T17:34:16,high,37
work_order_id_345,sku_90,warehouse_id_48,2020-07-14T07:05:03,medium,22
work_order_id_346,sku_167,warehouse_id_74,2020-07-15T11:06:23,high,30
work_order_id_347,sku_187,warehouse_id_48,2020-01-23T07:13:20,low,26
work_order_id_348,sku_78,warehouse_id_2,2020-02-13T13:33:50,critical,33
work_order_id_349,sku_174,warehouse_id_76,2020-08-31T20:47:06,high,21
work_order_id_350,sku_161,warehouse_id_32,2020-10-08T17:50:50,low,29
work_order_id_351,sku_99,warehouse_id_33,2020-06-06T11:04:53,critical,29
work_order_id_352,sku_184,warehouse_id_51,2020-12-27T00:10:21,low,32
