level_id,warehouse_id,sku,on_hand,reorder_point,last_count_ts
66,warehouse_id_66,sku_175,72,103,2020-09-02T01:13:55
67,warehouse_id_36,sku_188,92,84,2020-12-14T08:49:59
68,warehouse_id_16,sku_169,180,91,2020-12-25T16:03:18
69,warehouse_id_58,sku_135,104,87,2020-09-30T03:37:43
70,warehouse_id_66,sku_135,148,76,2020-07-24T03:56:03
71,warehouse_id_34,sku_10,98,97,2020-05-05T13:05:07
72,warehouse_id_13,sku_184,139,68,2020-03-07T04:03:33
73,warehouse_id_27,sku_148,129,55,2020-02-18T08:01:55
74,warehouse_id_68,sku_28,108,90,2020-02-27T08:48:29
75,warehouse_id_77,sku_27,107,46,2020-09-06T07:24:47
76,warehouse_id_38,sku_8,129,109,2020-11-13T15:50:55
77,warehouse_id_64,sku_106,123,91,2020-07-20T07:16:15
78,warehouse_id_43,sku_148,167,73,2020-02-10T20:24:45
79,warehouse_id_32,sku_60,123,79,2020-09-24T09:33:39
80,warehouse_id_39,sku_178,108,82,2020-01-10T01:43:57
81,warehouse_id_37,sku_77,107,79,2020-05-12T22:31:13
82,warehouse_id_80,sku_32,109,71,2020-04-11T15:11:34
83,warehouse_id_47,sku_183,140,73,2020-01-27T03:59:57
84,warehouse_id_45,sku_4,132,90,2020-06-19T04:12:57
85,warehouse_id_11,sku_112,94,70,2020-12-14T17:44:31
86,warehouse_id_27,sku_25,139,78,2020-09-20T10:20:21
87,warehouse_id_42,sku_190,125,54,2020-06-25T16:51:35
88,warehouse_id_26,sku_109,103,89,2020-05-28T11:12:57
89,warehouse_id_61,sku_119,163,91,2020-12-05T04:58:42
90,warehouse_id_65,sku_153,120,75,2020-01-14T23:17:45
91,warehouse_id_19,sku_135,139,89,2020-10-01T14:29:27
92,warehouse_id_58,sku_106,82,82,2020-03-08T19:18:46
93,warehouse_id_32,sku_197,157,69,2020-03-28T20:11:45
94,warehouse_id_22,sku_33,134,97,2020-06-13T03:08:00
95,warehouse_id_42,sku_121,121,98,2020-07-26T00:32:17
96,warehouse_id_15,sku_191,118,74,2020-10-11T20:35:52
97,warehouse_id_73,sku_108,119,85,2020-09-02T10:47:32
98,warehouse_id_24,sku_143,138,107,2020-12-09T07:24:13
99,warehouse_id_27,sku_10,148,75,2020-10-02T21:47:36
100,warehouse_id_65,sku_146,154,104,2020-04-04T01:58:31
101,warehouse_id_52,sku_69,110,69,2020-10-26T07:29:38
102,warehouse_id_46,sku_198,121,96,2020-12-04T18:04:14
103,warehouse_id_24,sku_66,101,86,2020-03-24T12:14:41
104,warehouse_id_70,sku_94,120,68,2020-12-07T02:52:17
105,warehouse_id_28,sku_189,144,59,2020-07-10T10:49:13
106,warehouse_id_61,sku_140,94,82,2020-03-10T07:56:16
107,warehouse_id_52,sku_60,121,87,2020-04-28T22:26:16
108,warehouse_id_67,sku_196,110,114,2020-03-02T11:53:05
109,warehouse_id_15,sku_80,104,93,2020-04-06T12:32:49
110,warehouse_id_76,sku_43,155,85,2020-11-24T06:35:29
111,warehouse_id_19,sku_200,145,79,2020-05-12T02:11:41
112,warehouse_id_17,sku_101,130,95,2020-09-22T23:46:11
113,warehouse_id_60,sku_17,191,91,2020-03-24T03:43:27
114,warehouse_id_17,sku_43,64,88,2020-10-16T07:04:10
115,warehouse_id_50,sku_91,92,77,2020-05-23T06:45:34
116,warehouse_id_36,sku_176,98,93,2020-02-19T15:55:15
117,warehouse_id_71,sku_6,100,73,2020-10-21T13:47:41
118,warehouse_id_55,sku_132,144,81,2020-08-02T13:21:27
119,warehouse_id_3,sku_81,164,71,2020-03-14T13:28:00
120,warehouse_id_1,sku_133,149,74,2020-03-08T02:27:29
121,warehouse_id_23,sku_39,182,86,2020-10-21T04:48:08
122,warehouse_id_55,sku_21,102,89,2020-04-30T00:22:25
123,warehouse_id_48,sku_170,124,72,2020-04-16T08:29:03
124,warehouse_id_58,sku_9,134,58,2020-09-15T12:38:31
125,warehouse_id_49,sku_199,110,51,2020-10-23T15:36:57
126,warehouse_id_28,sku_171,109,89,2020-11-28T16:34:55
127,warehouse_id_52,sku_168,159,54,2020-04-20T09:37:58
128,warehouse_id_13,sku_34,96,90,2020-01-17T10:39:34
129,warehouse_id_47,sku_90,142,112,2020-05-17T04:40:13
130,warehouse_id_17,sku_125,133,82,2020-07-11T16:49:19
131,warehouse_id_46,sku_64,110,82,2020-05-16T09:28:44
132,warehouse_id_9,sku_84,122,100,2020-02-17T08:27:26
133,warehouse_id_68,sku_16,86,77,2020-06-25T10:05:46
134,warehouse_id_54,sku_40,134,99,2020-07-07T19:06:32
135,warehouse_id_15,sku_145,137,68,2020-08-11T14:57:51
136,warehouse_id_28,sku_14,115,71,2020-04-24T10:30:48
137,warehouse_id_69,sku_73,155,87,2020-08-27T12:02:37
138,warehouse_id_12,sku_101,137,76,2020-12-13T09:27:41
139,warehouse_id_21,sku_156,92,86,2020-11-16T09:57:23
140,warehouse_id_47,sku_35,118,84,2020-08-10T08:00:06
141,warehouse_id_22,sku_112,81,83,2020-03-28T05:02:38
142,warehouse_id_46,sku_22,93,71,2020-06-15T23:12:19
143,warehouse_id_14,sku_30,44,84,2020-05-05T14:52:31
144,warehouse_id_47,sku_162,113,61,2020-05-18T23:11:26
145,warehouse_id_61,sku_7,94,80,2020-12-24T17:03:14
146,warehouse_id_68,sku_154,123,68,2020-02-07T00:45:52
147,warehouse_id_43,sku_143,136,93,2020-07-20T17:27:54
148,warehouse_id_26,sku_17,109,72,2020-01-10T09:03:11
149,warehouse_id_74,sku_150,86,77,2020-05-28T02:06:50
150,warehouse_id_22,sku_89,130,55,2020-09-15T19:28:11
151,warehouse_id_19,sku_163,58,85,2020-07-16T00:14:03
152,warehouse_id_23,sku_72,116,67,2020-01-16T22:35:52
153,warehouse_id_39,sku_94,112,79,2020-05-28T03:20:43
154,warehouse_id_52,sku_163,198,84,2020-01-01T15:46:46
155,warehouse_id_73,sku_174,105,76,2020-01-30T12:07:50
156,warehouse_id_72,sku_141,111,97,2020-04-03T15:29:46
157,warehouse_id_19,sku_172,125,126,2020-02-10T17:02:03
158,warehouse_id_23,sku_196,101,70,2020-06-07T01:02:12
159,warehouse_id_50,sku_101,133,72,2020-09-20T06:11:55
160,warehouse_id_28,sku_87,121,69,2020-10-25T16:50:52
161,warehouse_id_55,sku_62,142,71,2020-05-04T06:23:26
162,warehouse_id_80,sku_63,129,76,2020-09-29T19:00:21
163,warehouse_id_72,sku_73,165,67,2020-03-14T08:01:41
164,warehouse_id_33,sku_168,148,88,2020-05-15T23:20:16
165,warehouse_id_21,sku_46,113,64,2020-12-24T19:19:05
166,warehouse_id_5,sku_186,113,86,2020-11-27T23:27:23
167,warehouse_id_17,sku_32,142,76,2020-07-06T11:35:26
168,warehouse_id_9,sku_72,176,82,2020-10-21T05:47:35
169,warehouse_id_67,sku_65,92,95,2020-01-16T17:43:52
170,warehouse_id_4,sku_189,114,80,2020-01-11T13:00:19
171,warehouse_id_80,sku_171,143,94,2020-12-07T08:49:33
172,warehouse_id_38,sku_43,96,67,2020-09-25T10:37:29
173,warehouse_id_14,sku_48,120,69,2020-03-31T04:25:11
174,warehouse_id_46,sku_53,107,52,2020-07-07T11:07:48
175,warehouse_id_57,sku_96,138,91,2020-03-17T17:38:26
176,warehouse_id_23,sku_175,195,88,2020-08-31T06:48:43
177,warehouse_id_46,sku_72,178,79,2020-02-23T21:52:55
178,warehouse_id_46,sku_44,102,73,2020-08-04T20:24:35
179,warehouse_id_26,sku_150,116,80,2020-01-15T11:01:18
180,warehouse_id_59,sku_198,157,93,2020-03-19T08:33:52
181,warehouse_id_20,sku_90,141,91,2020-07-11T23:17:02
182,warehouse_id_70,sku_58,113,79,2020-10-10T13:28:26
183,warehouse_id_39,sku_53,147,82,2020-02-07T03:42:17
184,warehouse_id_24,sku_160,154,99,2020-10-03T11:44:07
185,warehouse_id_66,sku_137,121,84,2020-11-15T23:10:47
186,warehouse_id_42,sku_78,96,54,2020-01-19T08:49:59
187,warehouse_id_57,sku_64,133,90,2020-10-02T13:39:40
188,warehouse_id_33,sku_149,102,90,2020-07-03T19:49:19
189,warehouse_id_72,sku_134,114,96,2020-11-23T00:14:33
190,warehouse_id_8,sku_116,113,79,2020-03-22T00:31:34
191,warehouse_id_71,sku_194,160,63,2020-04-28T13:15:15
192,warehouse_id_9,sku_197,74,105,2020-07-11T11:45:48
193,warehouse_id_29,sku_4,129,65,2020-09-24T13:02:39
194,warehouse_id_20,sku_17,158,75,2020-05-23T23:45:16
195,warehouse_id_49,sku_171,138,107,2020-05-13T12:45:21
196,warehouse_id_75,sku_190,147,95,2020-06-17T23:58:23
197,warehouse_id_41,sku_140,169,100,2020-08-12T17:05:09
198,warehouse_id_76,sku_33,150,67,2020-09-18T00:52:18
199,warehouse_id_30,sku_110,104,80,2020-02-22T06:30:24
200,warehouse_id_25,sku_154,131,65,2020-10-11T21:28:48
201,warehouse_id_35,sku_47,99,98,2020-08-09T02:57:17
202,warehouse_id_43,sku_183,139,103,2020-03-03T21:00:34
203,warehouse_id_24,sku_89,166,111,2020-03-31T00:07:18
204,warehouse_id_56,sku_28,126,66,2020-12-16T20:05:04
205,warehouse_id_53,sku_158,142,93,2020-01-04T13:26:51
206,warehouse_id_10,sku_157,111,65,2020-05-21T02:16:25
207,warehouse_id_48,sku_38,77,95,2020-08-03T04:09:20
208,warehouse_id_38,sku_88,141,45,2020-12-03T01:00:27
209,warehouse_id_71,sku_108,148,94,2020-10-05T19:58:09
210,warehouse_id_79,sku_97,91,70,2020-03-01T11:40:45
211,warehouse_id_28,sku_129,142,110,2020-06-07T14:15:08
212,warehouse_id_37,sku_5,90,92,2020-08-18T15:00:19
213,warehouse_id_15,sku_106,113,63,2020-08-03T02:35:54
214,warehouse_id_44,sku_129,124,87,2020-03-20T03:20:04
215,warehouse_id_23,sku_33,59,82,2020-10-20T08:25:46
216,warehouse_id_33,sku_19,132,95,2020-06-22T23:31:44
217,warehouse_id_19,sku_184,112,78,2020-06-22T18:22:17
218,warehouse_id_23,sku_6,150,62,2020-12-14T03:06:31
219,warehouse_id_32,sku_66,106,93,2020-10-15T06:40:06
220,warehouse_id_41,sku_105,147,60,2020-07-13T19:39:47
221,warehouse_id_21,sku_116,69,77,2020-10-03T12:17:36
222,warehouse_id_19,sku_48,117,88,2020-06-15T10:09:20
223,warehouse_id_60,sku_59,169,81,2020-03-01T11:29:06
224,warehouse_id_37,sku_129,151,105,2020-07-20T16:11:52
225,warehouse_id_63,sku_3,156,100,2020-04-01T09:26:59
226,warehouse_id_64,sku_186,164,83,2020-10-28T13:25:19
227,warehouse_id_76,sku_118,87,52,2020-07-25T15:50:42
228,warehouse_id_9,sku_181,110,89,2020-02-12T15:27:45
229,warehouse_id_7,sku_134,87,48,2020-04-24T06:02:53
230,warehouse_id_9,sku_129,115,73,2020-08-10T10:14:55
231,warehouse_id_75,sku_163,78,82,2020-10-16T02:30:00
232,warehouse_id_24,sku_200,127,78,2020-01-28T08:07:33
233,warehouse_id_74,sku_106,127,75,2020-04-20T00:33:15
234,warehouse_id_16,sku_25,140,86,2020-04-23T01:11:43
235,warehouse_id_63,sku_122,53,67,2020-12-11T06:13:42
236,warehouse_id_37,sku_75,116,103,2020-05-19T20:14:47
237,warehouse_id_27,sku_130,130,102,2020-11-22T04:46:40
238,warehouse_id_77,sku_143,90,63,2020-09-21T02:18:44
239,warehouse_id_8,sku_190,102,58,2020-05-15T06:07:16
240,warehouse_id_11,sku_35,98,103,2020-06-01T15:55:59
241,warehouse_id_58,sku_97,146,80,2020-06-10T12:50:51
242,warehouse_id_61,sku_37,129,60,2020-12-19T13:29:13
243,warehouse_id_51,sku_183,114,58,2020-08-15T10:55:07
244,warehouse_id_3,sku_174,127,67,2020-10-11T22:15:26
245,warehouse_id_52,sku_37,128,79,2020-06-15T10:38:07
246,warehouse_id_19,sku_156,94,94,2020-12-14T01:42:03
247,warehouse_id_65,sku_84,113,67,2020-10-06T21:39:41
248,warehouse_id_75,sku_51,160,82,2020-01-21T00:14:36
249,warehouse_id_11,sku_38,77,86,2020-03-29T16:50:22
250,warehouse_id_24,sku_190,151,107,2020-03-17T12:04:49
251,warehouse_id_42,sku_129,97,117,2020-04-24T05:09:34
252,warehouse_id_10,sku_34,96,80,2020-02-18T12:36:01
253,warehouse_id_27,sku_161,95,71,2020-07-17T07:22:12
254,warehouse_id_41,sku_61,148,103,2020-08-05T08:42:19
255,warehouse_id_20,sku_52,135,81,2020-03-10T20:08:37
256,warehouse_id_55,sku_6,175,70,2020-06-14T16:45:52
257,warehouse_id_36,sku_118,130,87,2020-12-17T04:06:03
258,warehouse_id_19,sku_177,122,105,2020-03-25T04:01:22
259,warehouse_id_6,sku_156,16,84,2020-11-11T05:47:51
260,warehouse_id_6,sku_77,82,85,2020-01-28T03:11:12
261,warehouse_id_1,sku_178,132,83,2020-10-22T17:55:27
262,warehouse_id_54,sku_139,131,111,2020-11-16T07:58:13
263,warehouse_id_73,sku_108,112,80,2020-08-09T20:20:58
264,warehouse_id_40,sku_1,146,62,2020-11-22T01:48:49
265,warehouse_id_3,sku_155,165,90,2020-11-08T20:43:45
266,warehouse_id_13,sku_37,143,80,2020-08-10T06:40:07
267,warehouse_id_73,sku_170,122,69,2020-05-10T04:23:15
268,warehouse_id_70,sku_53,100,94,2020-07-09T11:53:45
269,warehouse_id_79,sku_121,132,47,2020-05-29T17:54:12
270,warehouse_id_5,sku_111,123,76,2020-09-14T13:18:09
271,warehouse_id_73,sku_196,115,73,2020-01-01T18:18:33
272,warehouse_id_30,sku_30,112,54,2020-12-19T06:25:39
273,warehouse_id_59,sku_69,96,53,2020-01-10T22:53:41
274,warehouse_id_7,sku_164,127,110,2020-10-29T04:50:14
275,warehouse_id_41,sku_182,122,85,2020-03-26T22:53:54
276,warehouse_id_50,sku_122,120,117,2020-09-17T07:00:50
277,warehouse_id_63,sku_185,144,97,2020-01-27T05:54:01
278,warehouse_id_80,sku_14,170,73,2020-08-17T03:31:25
279,warehouse_id_11,sku_51,137,77,2020-06-18T02:39:01
280,warehouse_id_18,sku_31,75,75,2020-03-01T09:31:23
281,warehouse_id_30,sku_200,94,99,2020-04-08T18:24:13
282,warehouse_id_20,sku_8,108,62,2020-09-15T20:21:25
283,warehouse_id_59,sku_169,123,78,2020-10-30T02:56:37
284,warehouse_id_1,sku_199,85,104,2020-07-21T19:07:46
285,warehouse_id_64,sku_69,112,77,2020-08-25T03:49:37
286,warehouse_id_34,sku_73,155,51,2020-08-19T03:44:25
287,warehouse_id_18,sku_135,114,98,2020-12-09T13:49:57
288,warehouse_id_39,sku_150,148,68,2020-07-30T05:30:38
289,warehouse_id_60,sku_68,169,108,2020-03-05T02:59:32
290,warehouse_id_53,sku_63,141,77,2020-10-05T01:08:01
291,warehouse_id_25,sku_168,139,77,2020-02-20T12:46:50
292,warehouse_id_23,sku_179,63,64,2020-07-06T16:43:19
293,warehouse_id_4,sku_6,143,45,2020-07-10T15:33:56
294,warehouse_id_36,sku_196,164,68,2020-07-18T02:55:50
295,warehouse_id_19,sku_108,77,85,2020-02-11T07:48:56
296,warehouse_id_2,sku_135,86,74,2020-12-04T08:22:06
297,warehouse_id_70,sku_197,100,68,2020-04-03T06:28:33
298,warehouse_id_2,sku_28,165,77,2020-04-16T14:16:05
299,warehouse_id_70,sku_59,96,92,2020-04-13T10:19:28
300,warehouse_id_17,sku_137,133,63,2020-08-21T05:52:58
301,warehouse_id_80,sku_21,123,93,2020-07-29T04:17:31
302,warehouse_id_21,sku_44,184,83,2020-07-08T20:32:04
303,warehouse_id_8,sku_15,185,61,2020-08-27T21:44:05
304,warehouse_id_16,sku_177,106,62,2020-11-16T10:19:42
305,warehouse_id_78,sku_137,161,98,2020-04-19T09:45:41
306,warehouse_id_30,sku_61,144,83,2020-08-15T19:00:25
307,warehouse_id_70,sku_111,162,65,2020-10-11T03:38:04
308,warehouse_id_49,sku_126,96,72,2020-07-05T18:47:27
309,warehouse_id_11,sku_159,155,63,2020-12-14T12:05:17
310,warehouse_id_59,sku_40,124,56,2020-11-01T15:28:46
311,warehouse_id_61,sku_51,80,52,2020-04-20T22:58:12
312,warehouse_id_33,sku_108,130,45,2020-05-23T00:49:02
313,warehouse_id_55,sku_188,129,78,2020-08-12T22:15:10
314,warehouse_id_45,sku_61,167,76,2020-09-07T22:46:26
315,warehouse_id_3,sku_115,79,83,2020-12-09T11:29:25
316,warehouse_id_47,sku_57,132,86,2020-05-04T18:45:39
317,warehouse_id_40,sku_2,141,73,2020-11-17T03:05:09
318,warehouse_id_76,sku_95,115,82,2020-09-23T18:31:22
319,warehouse_id_64,sku_57,104,57,2020-06-03T15:26:10
320,warehouse_id_23,sku_22,138,57,2020-03-11T01:47:50
321,warehouse_id_44,sku_137,125,95,2020-11-24T02:14:37
322,warehouse_id_31,sku_34,126,81,2020-02-11T08:49:10
323,warehouse_id_30,sku_75,111,86,2020-08-05T16:57:54
324,warehouse_id_3,sku_81,115,72,2020-10-18T04:50:38
325,warehouse_id_40,sku_151,172,67,2020-04-29T06:59:40
326,warehouse_id_50,sku_51,107,100,2020-03-24T04:08:11
327,warehouse_id_9,sku_3,115,108,2020-11-30T09:50:15
328,warehouse_id_32,sku_42,116,99,2020-10-07T06:03:11
329,warehouse_id_31,sku_192,146,65,2020-11-28T01:30:23
330,warehouse_id_22,sku_5,126,91,2020-06-12T13:10:45
331,warehouse_id_45,sku_190,48,80,2020-09-24T09:21:18
332,warehouse_id_77,sku_149,121,94,2020-01-06T03:50:40
333,warehouse_id_28,sku_19,117,119,2020-06-13T10:24:49
334,warehouse_id_8,sku_117,144,82,2020-05-18T02:46:03
335,warehouse_id_47,sku_197,112,61,2020-01-05T09:33:32
336,warehouse_id_50,sku_123,132,62,2020-02-01T15:09:20
337,warehouse_id_44,sku_189,165,81,2020-11-04T00:53:18
338,warehouse_id_11,sku_116,138,79,2020-12-05T18:01:15
339,warehouse_id_65,sku_72,139,68,2020-04-23T02:45:21
340,warehouse_id_36,sku_9,156,83,2020-03-14T14:02:02
341,warehouse_id_77,sku_167,110,77,2020-06-29T22:48:00
342,warehouse_id_20,sku_104,132,78,2020-08-25T12:36:01
343,warehouse_id_4,sku_199,166,79,2020-11-02T17:10:32
344,warehouse_id_79,sku_156,130,56,2020-03-24T21:48:46
345,warehouse_id_22,sku_86,92,104,2020-03-02T06:53:53
346,warehouse_id_54,sku_57,82,89,2020-03-31T06:11:40
347,warehouse_id_75,sku_176,145,90,2020-05-22T01:07:50
348,warehouse_id_53,sku_2,142,64,2020-06-26T19:55:50
349,warehouse_id_2,sku_148,130,101,2020-12-02T09:30:03
350,warehouse_id_66,sku_200,117,53,2020-05-26T02:18:33
351,warehouse_id_1,sku_110,124,69,2020-12-22T10:21:48
352,warehouse_id_23,sku_52,74,85,2020-04-03T11:38:42
353,warehouse_id_73,sku_128,164,85,2020-07-19T15:17:03
354,warehouse_id_31,sku_93,113,57,2020-03-10T19:09:03
355,warehouse_id_62,sku_71,129,100,2020-02-09T07:22:13
356,warehouse_id_47,sku_100,85,87,2020-10-09T02:51:25
357,warehouse_id_65,sku_144,93,87,2020-09-14T11:11:33
358,warehouse_id_48,sku_122,143,71,2020-07-24T00:58:59
359,warehouse_id_67,sku_125,187,95,2020-11-29T07:32:54
360,warehouse_id_55,sku_138,147,75,2020-11-13T14:23:09
361,warehouse_id_57,sku_177,103,92,2020-11-14T16:11:42
362,warehouse_id_73,sku_56,140,70,2020-03-05T07:34:45
363,warehouse_id_54,sku_105,120,66,2020-02-22T04:04:24
364,warehouse_id_51,sku_72,147,73,2020-10-03T15:08:21
365,warehouse_id_17,sku_150,149,80,2020-02-09T09:39:21
366,warehouse_id_30,sku_179,101,89,2020-02-02T01:26:25
367,warehouse_id_23,sku_33,103,103,2020-03-31T20:24:59
368,warehouse_id_55,sku_29,130,92,2020-10-01T04:17:51
369,warehouse_id_54,sku_57,188,90,2020-10-11T21:02:13
370,warehouse_id_29,sku_129,100,85,2020-04-30T06:20:26
371,warehouse_id_2,sku_132,95,78,2020-09-29T20:01:09
372,warehouse_id_67,sku_6,163,74,2020-06-17T23:16:01
373,warehouse_id_6,sku_164,184,115,2020-01-03T08:21:45
374,warehouse_id_28,sku_96,49,90,2020-09-16T02:03:02
375,warehouse_id_49,sku_168,112,70,2020-06-10T23:05:12
376,warehouse_id_66,sku_142,164,98,2020-05-05T16:18:10
377,warehouse_id_13,sku_34,122,76,2020-11-04T13:45:41
378,warehouse_id_10,sku_36,162,74,2020-04-19T08:04:11
379,warehouse_id_78,sku_37,152,79,2020-09-25T12:55:17
380,warehouse_id_54,sku_107,96,93,2020-04-23T20:43:52
381,warehouse_id_41,sku_96,101,49,2020-06-09T12:43:56
382,warehouse_id_61,sku_21,102,89,2020-12-03T04:26:16
383,warehouse_id_32,sku_24,136,77,2020-08-31T16:09:32
384,warehouse_id_75,sku_72,86,83,2020-02-23T05:52:32
385,warehouse_id_47,sku_66,116,79,2020-09-03T01:30:43
386,warehouse_id_55,sku_190,61,82,2020-09-11T04:06:55
387,warehouse_id_56,sku_64,190,75,2020-10-16T16:15:33
388,warehouse_id_36,sku_169,111,88,2020-12-12T11:49:09
389,warehouse_id_75,sku_137,142,82,2020-05-16T00:29:12
390,warehouse_id_66,sku_106,112,87,2020-03-02T01:56:31
391,warehouse_id_15,sku_107,88,88,2020-12-11T09:35:58
392,warehouse_id_50,sku_57,73,102,2020-08-17T02:36:45
393,warehouse_id_59,sku_174,72,72,2020-03-25T12:31:41
394,warehouse_id_45,sku_156,121,81,2020-12-26T01:48:03
395,warehouse_id_29,sku_198,115,38,2020-05-12T12:11:00
396,warehouse_id_57,sku_98,126,63,2020-10-14T02:07:53
397,warehouse_id_68,sku_21,100,80,2020-08-03T11:28:59
398,warehouse_id_25,sku_137,65,103,2020-12-06T12:41:25
399,warehouse_id_10,sku_182,106,85,2020-04-11T07:15:29
400,warehouse_id_56,sku_74,139,110,2020-05-18T14:32:37
401,warehouse_id_10,sku_186,138,76,2020-07-14T20:13:43
402,warehouse_id_78,sku_111,143,80,2020-04-03T16:55:56
403,warehouse_id_58,sku_42,132,103,2020-07-10T04:32:26
404,warehouse_id_16,sku_37,104,94,2020-12-08T13:21:01
405,warehouse_id_65,sku_101,66,81,2020-06-01T05:49:43
406,warehouse_id_56,sku_140,129,88,2020-07-29T12:40:13
407,warehouse_id_46,sku_56,81,90,2020-12-20T12:13:40
408,warehouse_id_5,sku_163,113,73,2020-07-16T04:11:43
409,warehouse_id_4,sku_97,124,90,2020-04-07T20:40:38
410,warehouse_id_44,sku_38,157,78,2020-09-12T10:10:05
411,warehouse_id_79,sku_56,73,77,2020-04-09T14:14:37
412,warehouse_id_20,sku_21,56,88,2020-03-04T23:02:03
413,warehouse_id_43,sku_158,41,63,2020-01-17T11:33:17
414,warehouse_id_30,sku_158,95,66,2020-08-07T15:37:27
415,warehouse_id_68,sku_137,124,102,2020-05-27T13:49:08
416,warehouse_id_50,sku_200,175,99,2020-08-29T15:37:03
417,warehouse_id_67,sku_116,168,95,2020-04-07T00:26:57
418,warehouse_id_24,sku_57,109,90,2020-01-14T05:14:02
419,warehouse_id_49,sku_173,117,91,2020-07-07T01:46:01
420,warehouse_id_47,sku_119,168,88,2020-09-15T04:36:00
421,warehouse_id_55,sku_168,123,96,2020-06-03T06:05:24
422,warehouse_id_61,sku_54,63,91,2020-05-21T02:06:11
