po_number,supplier_id,warehouse_id,order_ts,status
po_number_169,2043,warehouse_id_66,2020-11-10T17:59:37,approved
po_number_170,2084,warehouse_id_75,2020-04-27T16:29:20,approved
po_number_171,2116,warehouse_id_56,2020-08-28T03:18:36,closed
po_number_172,2069,warehouse_id_48,2020-08-16T22:58:34,closed
po_number_173,2099,warehouse_id_75,2020-10-28T02:42:09,draft
po_number_174,2079,warehouse_id_34,2020-01-23T19:14:25,in_transit
po_number_175,2049,warehouse_id_35,2020-12-08T07:09:14,closed
po_number_176,2061,warehouse_id_51,2020-07-27T13:55:38,in_transit
po_number_177,2069,warehouse_id_37,2020-10-18T21:14:28,in_transit
po_number_178,2071,warehouse_id_50,2020-10-29T13:00:29,approved
po_number_179,2110,warehouse_id_46,2020-11-04T14:59:06,received
po_number_180,2003,warehouse_id_45,2020-02-15T20:42:39,closed
po_number_181,2070,warehouse_id_44,2020-11-07T04:18:59,received
po_number_182,2037,warehouse_id_4,2020-07-29T03:19:57,closed
po_number_183,2116,warehouse_id_65,2020-04-17T06:42:25,draft
po_number_184,2118,warehouse_id_16,2020-06-20T05:08:54,received
po_number_185,2035,warehouse_id_42,2020-01-03T23:56:32,in_transit
po_number_186,2041,warehouse_id_30,2020-07-14T02:59:36,received
po_number_187,2099,warehouse_id_76,2020-03-30T19:09:52,draft
po_number_188,2015,warehouse_id_64,2020-08-16T19:27:10,in_transit
po_number_189,2006,warehouse_id_46,2020-03-24T16:03:52,closed
po_number_190,2049,warehouse_id_51,2020-04-18T03:30:19,approved
po_number_191,2063,warehouse_id_46,2020-09-17T17:30:26,closed
po_number_192,2018,warehouse_id_8,2020-02-26T14:50:18,in_transit
po_number_193,2046,warehouse_id_36,2020-09-12T19:59:13,draft
po_number_194,2065,warehouse_id_77,2020-06-27T07:09:21,in_transit
po_number_195,2092,warehouse_id_30,2020-03-16T04:41:32,closed
po_number_196,2081,warehouse_id_35,2020-09-02T08:14:21,approved
po_number_197,2062,warehouse_id_73,2020-05-13T01:40:28,approved
po_number_198,2119,warehouse_id_13,2020-10-15T15:29:50,approved
po_number_199,2011,warehouse_id_42,2020-06-11T12:38:03,closed
po_number_200,2114,warehouse_id_44,2020-07-31T15:30:13,approved
po_number_201,2016,warehouse_id_20,2020-09-26T04:00:06,closed
po_number_202,2074,warehouse_id_32,2020-03-15T13:44:34,in_transit
po_number_203,2109,warehouse_id_18,2020-07-04T09:52:02,closed
po_number_204,2060,warehouse_id_79,2020-07-27T09:06:01,draft
po_number_205,2100,warehouse_id_23,2020-07-01T23:44:31,closed
po_number_206,2021,warehouse_id_2,2020-05-24T10:00:20,draft
po_number_207,2006,warehouse_id_47,2020-09-13T14:32:13,closed
po_number_208,2002,warehouse_id_23,2020-03-19T06:47:43,draft
po_number_209,2019,warehouse_id_55,2020-10-26T01:40:20,in_transit
po_number_210,2066,warehouse_id_8,2020-02-09T00:56:10,draft
po_number_211,2071,warehouse_id_6,2020-07-25T22:26:16,approved
po_number_212,2025,warehouse_id_62,2020-12-29T14:40:44,received
po_number_213,2044,warehouse_id_59,2020-03-02T12:57:25,approved
po_number_214,2110,warehouse_id_55,2020-10-31T12:36:34,closed
po_number_215,2041,warehouse_id_54,2020-12-27T14:14:59,in_transit
po_number_216,2065,warehouse_id_22,2020-05-22T08:02:55,closed
po_number_217,2013,warehouse_id_78,2020-09-29T12:29:31,closed
po_number_218,2035,warehouse_id_75,2020-03-02T15:13:56,in_transit
po_number_219,2028,warehouse_id_20,2020-11-09T12:33:14,received
po_number_220,2033,warehouse_id_69,2020-02-13T19:49:22,in_transit
po_number_221,2088,warehouse_id_14,2020-06-11T12:16:27,in_transit
po_number_222,2063,warehouse_id_55,2020-07-31T07:56:06,draft
po_number_223,2104,warehouse_id_63,2020-12-27T08:33:58,approved
po_number_224,2038,warehouse_id_53,2020-06-30T09:02:46,received
po_number_225,2004,warehouse_id_7,2020-09-05T21:13:45,approved
po_number_226,2100,warehouse_id_37,2020-10-07T18:46:10,draft
po_number_227,2043,warehouse_id_31,2020-10-22T09:43:45,closed
po_number_228,2020,warehouse_id_33,2020-09-10T23:29:42,in_transit
po_number_229,2018,warehouse_id_53,2020-09-07T17:08:19,approved
po_number_230,2115,warehouse_id_16,2020-11-03T09:26:02,closed
po_number_231,2101,warehouse_id_41,2020-05-17T08:16:03,in_transit
po_number_232,2073,warehouse_id_5,2020-06-10T15:29:04,draft
po_number_233,2090,warehouse_id_39,2020-01-25T08:47:39,closed
po_number_234,2040,warehouse_id_21,2020-07-14T06:56:48,approved
po_number_235,2012,warehouse_id_51,2020-09-05T23:57:27,received
po_number_236,2086,warehouse_id_40,2020-12-17T00:52:47,approved
po_number_237,2053,warehouse_id_38,2020-08-13T02:51:20,closed
po_number_238,2013,warehouse_id_73,2020-01-05T16:12:27,in_transit
po_number_239,2059,warehouse_id_74,2020-05-03T07:35:42,draft
po_number_240,2015,warehouse_id_36,2020-01-26T18:51:29,received
po_number_241,2057,warehouse_id_30,2020-09-16T03:03:45,in_transit
po_number_242,2047,warehouse_id_52,2020-04-24T13:29:36,received
po_number_243,2101,warehouse_id_53,2020-03-16T19:55:58,approved
po_number_244,2050,warehouse_id_73,2020-02-11T06:53:38,received
po_number_245,2065,warehouse_id_8,2020-11-06T01:32:30,draft
po_number_246,2110,warehouse_id_69,2020-03-30T19:53:19,received
po_number_247,2055,warehouse_id_73,2020-07-31T13:36:17,draft
po_number_248,2113,warehouse_id_16,2020-10-31T12:26:39,received
po_number_249,2087,warehouse_id_69,2020-01-27T02:36:51,received
po_number_250,2082,warehouse_id_36,2020-05-28T01:12:12,in_transit
po_number_251,2049,warehouse_id_75,2020-03-05T19:45:37,draft
po_number_252,2020,warehouse_id_60,2020-11-07T20:07:10,received
po_number_253,2085,warehouse_id_69,2020-10-17T00:15:03,closed
po_number_254,2113,warehouse_id_9,2020-04-07T02:40:03,approved
po_number_255,2029,warehouse_id_56,2020-06-14T14:56:51,approved
po_number_256,2023,warehouse_id_72,2020-11-26T12:47:47,approved
po_number_257,2081,warehouse_id_35,2020-05-27T05:23:39,closed
po_number_258,2017,warehouse_id_54,2020-05-06T14:46:05,approved
po_number_259,2018,warehouse_id_51,2020-04-12T15:37:25,draft
po_number_260,2052,warehouse_id_61,2020-05-26T17:03:13,in_transit
po_number_261,2046,warehouse_id_76,2020-05-15T15:53:44,closed
po_number_262,2059,warehouse_id_80,2020-12-15T06:33:52,received
po_number_263,2058,warehouse_id_60,2020-02-18T10:15:56,draft
po_number_264,2118,warehouse_id_15,2020-01-01T06:11:13,received
po_number_265,2066,warehouse_id_18,2020-07-20T00:26:43,in_transit
po_number_266,2010,warehouse_id_21,2020-09-05T08:22:14,in_transit
po_number_267,2025,warehouse_id_32,2020-08-26T14:25:52,closed
po_number_268,2111,warehouse_id_30,2020-12-15T01:30:54,closed
po_number_269,2077,warehouse_id_47,2020-12-20T19:11:08,received
po_number_270,2104,warehouse_id_55,2020-08-20T21:59:27,draft
po_number_271,2116,warehouse_id_66,2020-09-26T00:05:41,in_transit
po_number_272,2076,warehouse_id_60,2020-08-26T01:20:01,approved
po_number_273,2067,warehouse_id_56,2020-11-30T05:49:33,in_transit
po_number_274,2075,warehouse_id_63,2020-02-18T11:31:44,received
po_number_275,2078,warehouse_id_34,2020-01-29T23:37:13,draft
po_number_276,2013,warehouse_id_18,2020-03-28T13:26:47,draft
po_number_277,2070,warehouse_id_34,2020-05-28T05:28:41,closed
po_number_278,2020,warehouse_id_52,2020-05-16T19:59:34,received
po_number_279,2063,warehouse_id_61,2020-12-10T11:18:36,received
po_number_280,2111,warehouse_id_62,2020-01-04T02:42:06,received
po_number_281,2091,warehouse_id_41,2020-02-05T18:42:08,closed
po_number_282,2090,warehouse_id_46,2020-08-04T18:27:46,closed
po_number_283,2013,warehouse_id_55,2020-07-05T00:42:16,received
po_number_284,2006,warehouse_id_2,2020-01-27T21:24:01,received
po_number_285,2025,warehouse_id_13,2020-04-17T09:50:31,approved
po_number_286,2032,warehouse_id_47,2020-03-11T05:01:34,received
po_number_287,2037,warehouse_id_78,2020-12-08T05:23:57,received
po_number_288,2022,warehouse_id_5,2020-05-10T22:26:36,draft
po_number_289,2085,warehouse_id_49,2020-05-10T10:32:18,received
po_number_290,2060,warehouse_id_11,2020-05-07T06:23:28,closed
po_number_291,2026,warehouse_id_16,2020-05-03T15:54:30,closed
po_number_292,2082,warehouse_id_11,2020-08-04T14:29:23,approved
po_number_293,2100,warehouse_id_61,2020-04-06T20:01:52,in_transit
po_number_294,2056,warehouse_id_18,2020-09-21T11:09:10,in_transit
po_number_295,2001,warehouse_id_51,2020-03-22T15:49:10,approved
po_number_296,2114,warehouse_id_63,2020-05-31T13:56:23,received
po_number_297,2118,warehouse_id_34,2020-09-19T17:10:27,closed
po_number_298,2090,warehouse_id_12,2020-11-06T13:44:10,closed
po_number_299,2058,warehouse_id_14,2020-02-18T04:45:35,approved
po_number_300,2118,warehouse_id_30,2020-09-08T17:08:46,received
po_number_301,2025,warehouse_id_15,2020-10-20T15:03:05,in_transit
po_number_302,2002,warehouse_id_78,2020-08-19T15:22:31,in_transit
po_number_303,2049,warehouse_id_17,2020-03-10T13:01:37,in_transit
po_number_304,2113,warehouse_id_63,2020-10-13T10:25:29,received
po_number_305,2007,warehouse_id_7,2020-05-27T04:50:08,in_transit
po_number_306,2031,warehouse_id_7,2020-02-17T05:28:53,approved
po_number_307,2018,warehouse_id_77,2020-11-16T04:12:03,received
po_number_308,2058,warehouse_id_57,2020-06-09T23:37:25,received
po_number_309,2096,warehouse_id_41,2020-08-14T04:25:02,received
po_number_310,2083,warehouse_id_46,2020-12-24T11:45:04,closed
po_number_311,2040,warehouse_id_59,2020-01-24T19:50:15,received
po_number_312,2037,warehouse_id_70,2020-01-08T10:42:43,received
po_number_313,2079,warehouse_id_35,2020-07-25T07:31:18,received
po_number_314,2115,warehouse_id_30,2020-12-09T11:39:46,closed
po_number_315,2053,warehouse_id_49,2020-12-08T22:05:41,closed
po_number_316,2011,warehouse_id_76,2020-07-13T17:07:40,draft
po_number_317,2115,warehouse_id_9,2020-07-22T15:39:30,received
po_number_318,2057,warehouse_id_72,2020-06-30T10:30:41,draft
po_number_319,2006,warehouse_id_40,2020-12-23T22:09:11,draft
po_number_320,2011,warehouse_id_27,2020-07-28T23:26:43,received
po_number_321,2048,warehouse_id_57,2020-04-01T06:04:28,approved
po_number_322,2062,warehouse_id_8,2020-09-03T02:47:06,approved
po_number_323,2039,warehouse_id_58,2020-07-22T00:20:52,received
po_number_324,2119,warehouse_id_55,2020-12-10T17:41:37,in_transit
po_number_325,2119,warehouse_id_6,2020-02-17T11:01:09,closed
po_number_326,2108,warehouse_id_51,2020-06-01T03:13:05,approved
po_number_327,2118,warehouse_id_29,2020-03-20T11:58:48,received
po_number_328,2031,warehouse_id_42,2020-04-07T22:23:53,received
po_number_329,2023,warehouse_id_71,2020-12-13T15:58:41,received
po_number_330,2055,warehouse_id_53,2020-03-15T21:46:52,draft
po_number_331,2067,warehouse_id_70,2020-12-30T01:29:33,approved
po_number_332,2116,warehouse_id_28,2020-08-02T10:33:10,draft
po_number_333,2027,warehouse_id_22,2020-11-14T14:12:37,closed
po_number_334,2013,warehouse_id_79,2020-05-24T02:37:17,in_transit
po_number_335,2036,warehouse_id_2,2020-10-16T20:30:33,in_transit
po_number_336,2108,warehouse_id_36,2020-09-21T16:49:49,approved
po_number_337,2027,warehouse_id_21,2020-10-18T18:26:51,in_transit
po_number_338,2083,warehouse_id_71,2020-01-24T02:41:54,received
po_number_339,2114,warehouse_id_77,2020-11-10T04:43:29,received
po_number_340,2111,warehouse_id_65,2020-08-05T22:51:33,closed
po_number_341,2003,warehouse_id_26,2020-03-30T10:16:47,received
po_number_342,2114,warehouse_id_72,2020-10-15T21:47:14,in_transit
po_number_343,2097,warehouse_id_56,2020-06-24T01:34:09,approved
po_number_344,2084,warehouse_id_4,2020-12-20T11:57:44,received
po_number_345,2095,warehouse_id_55,2020-08-14T12:15:49,draft
po_number_346,2072,warehouse_id_19,2020-02-28T16:15:23,in_transit
po_number_347,2001,warehouse_id_71,2020-09-06T05:47:24,draft
po_number_348,2073,warehouse_id_59,2020-09-23T09:50:13,closed
po_number_349,2016,warehouse_id_21,2020-05-21T18:06:16,closed
po_number_350,2071,warehouse_id_5,2020-12-23T03:23:15,draft
po_number_351,2031,warehouse_id_31,2020-11-20T12:17:08,approved
po_number_352,2073,warehouse_id_18,2020-08-03T13:42:53,in_transit
po_number_353,2062,warehouse_id_9,2020-03-12T15:12:39,received
po_number_354,2035,warehouse_id_79,2020-12-04T22:08:47,in_transit
po_number_355,2021,warehouse_id_80,2020-04-08T21:57:43,received
po_number_356,2031,warehouse_id_73,2020-04-20T05:53:49,draft
po_number_357,2013,warehouse_id_17,2020-02-11T14:15:31,in_transit
po_number_358,2010,warehouse_id_66,2020-09-09T09:33:02,approved
po_number_359,2052,warehouse_id_72,2020-02-09T05:39:51,received
po_number_360,2061,warehouse_id_65,2020-11-07T18:29:12,received
po_number_361,2018,warehouse_id_51,2020-03-05T12:30:49,approved
po_number_362,2023,warehouse_id_58,2020-08-31T19:47:44,received
po_number_363,2031,warehouse_id_62,2020-01-07T03:50:43,draft
po_number_364,2103,warehouse_id_3,2020-06-11T07:27:21,approved
po_number_365,2058,warehouse_id_68,2020-11-01T23:50:27,draft
po_number_366,2069,warehouse_id_41,2020-05-27T15:26:33,received
po_number_367,2070,warehouse_id_36,2020-09-21T07:10:08,closed
po_number_368,2052,warehouse_id_48,2020-12-24T18:07:57,received
po_number_369,2001,warehouse_id_48,2020-05-23T13:38:04,closed
po_number_370,2059,warehouse_id_33,2020-03-07T18:20:47,draft
po_number_371,2108,warehouse_id_37,2020-08-05T11:59:51,in_transit
po_number_372,2091,warehouse_id_16,2020-10-04T08:21:51,received
po_number_373,2049,warehouse_id_57,2020-08-04T03:25:38,closed
po_number_374,2053,warehouse_id_52,2020-04-28T17:18:24,approved
po_number_375,2094,warehouse_id_10,2020-05-16T03:38:06,in_transit
po_number_376,2073,warehouse_id_34,2020-06-08T02:52:12,approved
po_number_377,2105,warehouse_id_52,2020-08-14T21:23:21,approved
po_number_378,2106,warehouse_id_77,2020-01-19T12:24:13,in_transit
po_number_379,2010,warehouse_id_48,2020-09-19T00:25:53,closed
po_number_380,2062,warehouse_id_14,2020-04-09T17:11:49,received
po_number_381,2119,warehouse_id_48,2020-12-24T12:41:35,in_transit
po_number_382,2003,warehouse_id_8,2020-05-23T09:37:51,approved
po_number_383,2084,warehouse_id_14,2020-08-05T02:27:00,draft
po_number_384,2092,warehouse_id_44,2020-11-09T02:16:39,in_transit
po_number_385,2064,warehouse_id_30,2020-11-26T08:59:06,draft
po_number_386,2052,warehouse_id_59,2020-08-02T12:42:49,approved
po_number_387,2046,warehouse_id_56,2020-12-21T14:39:02,closed
po_number_388,2110,warehouse_id_79,2020-10-14T02:44:14,draft
po_number_389,2118,warehouse_id_31,2020-05-20T11:40:39,in_transit
po_number_390,2092,warehouse_id_74,2020-09-02T18:58:13,draft
po_number_391,2091,warehouse_id_80,2020-04-01T18:43:10,closed
po_number_392,2003,warehouse_id_37,2020-02-21T12:53:59,approved
po_number_393,2051,warehouse_id_16,2020-04-08T04:44:10,received
po_number_394,2067,warehouse_id_76,2020-09-01T18:37:24,draft
po_number_395,2102,warehouse_id_14,2020-08-19T15:20:43,closed
po_number_396,2067,warehouse_id_57,2020-01-02T19:03:50,approved
po_number_397,2103,warehouse_id_8,2020-04-09T02:12:45,received
po_number_398,2081,warehouse_id_58,2020-06-19T22:03:53,closed
po_number_399,2033,warehouse_id_54,2020-11-22T14:23:07,approved
po_number_400,2039,warehouse_id_16,2020-12-29T01:04:14,approved
po_number_401,2106,warehouse_id_40,2020-12-21T07:55:30,received
po_number_402,2004,warehouse_id_17,2020-08-16T06:24:28,closed
po_number_403,2059,warehouse_id_66,2020-10-11T03:33:40,draft
po_number_404,2105,warehouse_id_8,2020-06-03T14:15:30,approved
po_number_405,2117,warehouse_id_78,2020-08-07T22:37:24,closed
po_number_406,2038,warehouse_id_45,2020-01-02T12:48:16,draft
po_number_407,2075,warehouse_id_51,2020-01-26T15:59:00,draft
po_number_408,2029,warehouse_id_2,2020-01-26T03:42:21,received
