ad_id,ad_set_id,campaign_id,creative_id,status,is_dynamic,created_ts
100054,10035,1006,5025,paused,False,2020-01-17T08:19:56
100055,10013,1013,5003,paused,True,2020-11-22T22:57:27
100056,10016,1013,5066,archived,False,2020-04-24T06:20:56
100057,10011,1014,5018,active,False,2020-09-04T17:52:15
100058,10021,1006,5029,archived,True,2020-07-24T05:21:34
100059,10019,1018,5055,archived,False,2020-11-06T09:18:21
100060,10025,1015,5054,archived,True,2020-06-17T06:36:27
100061,10076,1005,5082,archived,False,2020-03-17T14:23:33
100062,10008,1006,5016,active,True,2020-03-06T13:50:06
100063,10050,1003,5091,archived,True,2020-11-16T03:33:22
100064,10016,1019,5017,active,True,2020-07-25T17:33:41
100065,10035,1001,5003,active,False,2020-03-03T16:33:04
100066,10001,1015,5016,active,True,2020-03-08T20:03:37
100067,10010,1014,5034,archived,True,2020-09-29T16:59:04
100068,10039,1004,5098,archived,False,2020-02-02T06:03:10
100069,10066,1008,5119,active,False,2020-06-09T03:06:07
100070,10074,1018,5067,active,False,2020-10-19T12:41:10
100071,10038,1022,5088,active,False,2020-06-30T00:49:29
100072,10071,1008,5043,archived,False,2020-10-13T16:20:29
100073,10032,1022,5078,archived,False,2020-03-25T18:49:52
100074,10011,1003,5023,active,False,2020-01-07T17:48:06
100075,10044,1010,5035,paused,True,2020-04-03T01:11:04
100076,10064,1001,5036,active,False,2020-11-29T15:59:33
100077,10005,1021,5095,active,False,2020-05-25T14:38:40
100078,10071,1014,5079,archived,False,2020-06-11T23:58:16
100079,10077,1014,5057,archived,False,2020-08-31T00:21:11
100080,10011,1002,5080,paused,False,2020-02-13T10:44:50
100081,10047,1000,5111,paused,False,2020-08-21T20:32:23
100082,10034,1018,5094,paused,False,2020-07-07T18:37:25
100083,10019,1015,5030,active,False,2020-08-01T14:56:15
100084,10071,1013,5110,active,True,2020-10-03T13:56:49
100085,10040,1020,5085,paused,False,2020-06-25T14:27:18
100086,10060,1011,5024,active,False,2020-12-22T02:39:31
100087,10017,1019,5084,paused,False,2020-12-18T17:38:20
100088,10063,1013,5108,active,False,2020-03-24T21:10:06
100089,10027,1018,5086,archived,True,2020-03-11T22:17:44
100090,10035,1000,5001,paused,True,2020-07-19T20:31:54
100091,10056,1004,5067,archived,True,2020-03-19T02:36:54
100092,10028,1009,5080,active,False,2020-07-06T04:00:45
100093,10072,1004,5102,paused,True,2020-11-05T10:42:36
100094,10061,1000,5089,paused,True,2020-03-06T10:00:56
100095,10012,1005,5031,active,False,2020-12-05T21:37:22
100096,10065,1012,5064,paused,True,2020-09-27T23:53:28
100097,10037,1021,5025,archived,False,2020-09-09T05:29:17
100098,10052,1017,5116,paused,False,2020-10-06T17:28:42
100099,10049,1008,5053,paused,False,2020-12-21T20:00:02
100100,10018,1015,5012,active,True,2020-06-18T18:31:11
100101,10055,1008,5033,active,True,2020-08-11T05:37:44
100102,10025,1016,5033,paused,True,2020-11-23T17:39:34
100103,10014,1006,5118,active,False,2020-12-28T18:49:05
100104,10025,1011,5078,archived,True,2020-04-25T05:26:00
100105,10037,1000,5026,archived,False,2020-04-18T05:38:19
100106,10024,1015,5082,active,False,2020-03-11T19:10:01
100107,10001,1000,5116,paused,False,2020-09-10T21:04:55
100108,10032,1017,5092,paused,False,2020-06-03T00:40:40
100109,10019,1022,5066,active,True,2020-05-10T18:48:24
100110,10044,1003,5055,paused,False,2020-05-07T01:16:58
100111,10026,1012,5055,paused,True,2020-10-11T07:37:54
100112,10044,1018,5082,paused,True,2020-09-13T13:32:15
100113,10072,1006,5011,active,True,2020-10-16T16:45:10
100114,10049,1004,5101,archived,True,2020-04-16T20:20:40
100115,10004,1009,5096,archived,True,2020-07-21T17:57:42
100116,10016,1008,5114,active,False,2020-12-24T18:41:56
100117,10026,1000,5045,active,True,2020-09-07T15:35:29
100118,10000,1014,5092,paused,False,2020-11-14T14:37:07
100119,10076,1023,5007,active,True,2020-04-04T06:28:19
100120,10058,1004,5005,active,True,2020-09-13T11:50:19
100121,10071,1018,5053,active,True,2020-07-29T14:46:03
100122,10026,1007,5014,paused,False,2020-08-16T06:15:59
100123,10061,1021,5051,archived,False,2020-09-29T03:28:22
100124,10008,1006,5114,archived,False,2020-08-25T09:14:36
100125,10058,1018,5077,archived,False,2020-10-31T22:36:03
100126,10017,1013,5085,archived,True,2020-03-25T17:34:18
100127,10043,1015,5080,archived,True,2020-03-23T04:49:21
100128,10038,1020,5115,archived,False,2020-03-31T22:48:02
100129,10013,1004,5076,archived,False,2020-09-19T03:31:52
100130,10023,1009,5054,archived,False,2020-11-09T13:56:53
100131,10025,1005,5115,archived,True,2020-07-04T13:41:05
100132,10053,1010,5077,active,False,2020-12-06T01:42:50
100133,10055,1009,5027,active,False,2020-06-21T12:45:00
100134,10044,1004,5065,archived,False,2020-03-14T19:11:20
100135,10047,1020,5014,paused,False,2020-12-16T08:32:52
100136,10035,1021,5081,paused,False,2020-03-24T19:40:23
100137,10003,1024,5097,archived,True,2020-02-12T08:11:48
100138,10038,1004,5023,archived,False,2020-03-31T10:43:28
100139,10004,1021,5064,active,True,2020-10-03T08:07:49
100140,10028,1020,5035,archived,True,2020-04-24T02:56:14
100141,10027,1013,5007,active,False,2020-07-21T09:07:58
100142,10019,1024,5070,active,False,2020-06-29T12:56:44
100143,10029,1012,5086,paused,False,2020-06-21T20:01:01
100144,10045,1005,5065,paused,False,2020-06-19T23:09:56
100145,10049,1000,5029,active,False,2020-01-31T20:19:53
100146,10005,1014,5032,active,True,2020-02-23T19:21:01
100147,10042,1007,5048,archived,True,2020-11-28T00:58:57
100148,10057,1024,5067,active,True,2020-07-05T13:55:41
100149,10017,1024,5090,archived,True,2020-12-09T07:46:56
100150,10011,1006,5068,paused,True,2020-10-15T17:05:01
100151,10047,1008,5101,paused,True,2020-12-11T17:31:56
100152,10045,1024,5016,active,False,2020-06-27T18:06:07
100153,10065,1018,5068,paused,True,2020-03-15T14:05:58
100154,10048,1018,5007,paused,False,2020-02-26T09:01:02
100155,10078,1013,5057,active,True,2020-07-27T17:20:32
100156,10039,1022,5115,archived,False,2020-04-26T19:15:28
100157,10076,1003,5016,paused,False,2020-07-15T07:22:30
100158,10065,1013,5101,archived,True,2020-12-29T10:05:13
100159,10045,1018,5071,archived,True,2020-04-04T10:51:10
100160,10057,1008,5110,paused,False,2020-05-09T23:11:06
100161,10025,1007,5037,active,True,2020-01-07T07:51:19
100162,10064,1020,5117,archived,True,2020-11-29T02:15:10
100163,10050,1019,5057,archived,False,2020-07-11T11:32:44
100164,10050,1008,5011,paused,False,2020-10-11T13:56:34
100165,10017,1005,5093,archived,True,2020-09-06T08:08:42
100166,10032,1007,5047,paused,False,2020-06-12T01:57:35
100167,10039,1004,5027,paused,False,2020-01-05T12:13:40
100168,10040,1019,5011,archived,True,2020-01-25T20:40:54
100169,10027,1002,5116,active,False,2020-05-27T04:32:53
100170,10068,1003,5096,archived,False,2020-12-28T01:01:10
100171,10039,1010,5038,archived,False,2020-01-26T10:12:34
100172,10000,1020,5030,archived,False,2020-06-16T19:09:45
100173,10043,1015,5119,archived,True,2020-11-17T15:37:58
100174,10055,1017,5061,archived,False,2020-06-08T19:45:40
100175,10054,1005,5061,paused,False,2020-06-25T00:28:17
100176,10057,1014,5071,archived,False,2020-04-10T02:29:58
100177,10061,1021,5024,paused,True,2020-01-06T11:48:35
100178,10025,1011,5007,paused,True,2020-05-27T15:12:05
100179,10014,1023,5065,paused,False,2020-03-12T02:06:00
100180,10039,1017,5105,paused,True,2020-06-23T04:38:28
100181,10060,1007,5081,paused,False,2020-04-17T05:59:15
100182,10013,1015,5052,archived,False,2020-11-05T22:09:56
100183,10024,1009,5078,active,True,2020-04-09T16:55:09
100184,10049,1016,5078,archived,False,2020-12-08T15:48:16
100185,10001,1003,5026,paused,True,2020-08-27T09:16:59
100186,10061,1001,5099,archived,False,2020-02-18T07:27:45
100187,10040,1014,5041,archived,True,2020-09-23T01:58:09
100188,10061,1000,5050,archived,True,2020-01-12T15:45:12
100189,10028,1012,5011,archived,False,2020-10-15T20:15:18
100190,10065,1015,5096,active,True,2020-03-15T05:12:30
100191,10072,1022,5065,paused,True,2020-07-06T05:39:26
100192,10025,1013,5112,paused,False,2020-08-31T15:10:15
100193,10067,1003,5009,paused,False,2020-10-02T09:36:41
100194,10008,1001,5040,paused,True,2020-07-27T18:27:25
100195,10010,1015,5105,archived,False,2020-09-11T17:01:57
100196,10057,1003,5118,archived,True,2020-11-07T19:41:27
100197,10051,1023,5014,active,False,2020-06-14T23:08:16
100198,10040,1004,5006,archived,False,2020-04-06T11:57:12
100199,10044,1009,5055,archived,False,2020-05-29T19:07:41
